isoelectric_point,molecular_weight_da,product_conc_mg_ml,ph,kcl_conc,ps50_conc,llysine_conc,ps80_conc,mannitol_conc,citrate_conc,succinate_conc,fructose_conc,tm_c,protein_format_doppelmab,protein_format_igg3,protein_format_igg4,protein_format_knob_hole,protein_format_nano_mb
6.6534,530229.96,34.56,7.0,67.5,0.4,67.5,0.0,0.0,15.0,0.0,0.0,135.734933334152,1.0,0.0,0.0,0.0,0.0
5.772,421360.71,34.56,6.0,0.0,0.0,67.5,0.4,0.0,15.0,0.0,135.0,153.97482666584798,0.0,0.0,0.0,1.0,0.0
5.545800000000001,524743.11,172.8,6.0,0.0,0.4,0.0,0.0,135.0,15.0,0.0,135.0,150.634666665848,1.0,0.0,0.0,0.0,0.0
5.8422,388669.23,518.4,5.0,67.5,0.4,67.5,0.0,0.0,15.0,0.0,0.0,169.73416,0.0,1.0,0.0,0.0,0.0
6.6534,530229.96,34.56,5.5,0.0,0.4,67.5,0.0,135.0,0.0,15.0,0.0,134.8344,1.0,0.0,0.0,0.0,0.0
5.9124,272510.88,172.8,4.5,67.5,0.4,67.5,0.0,0.0,0.0,15.0,0.0,137.95369543208,0.0,0.0,0.0,1.0,0.0
5.8422,388669.23,518.4,5.5,0.0,0.4,67.5,0.0,0.0,0.0,15.0,135.0,175.96421333415202,0.0,1.0,0.0,0.0,0.0
5.499,389595.72,518.4,5.0,0.0,0.4,67.5,0.0,135.0,15.0,0.0,0.0,162.540996418952,0.0,1.0,0.0,0.0,0.0
6.6534,530229.96,172.8,7.0,0.0,0.4,0.0,0.0,270.0,15.0,0.0,0.0,140.89253333415198,1.0,0.0,0.0,0.0,0.0
5.499,389595.72,345.6,4.5,0.0,0.4,0.0,0.0,0.0,0.0,15.0,270.0,165.056607802568,0.0,1.0,0.0,0.0,0.0
5.8422,388669.23,172.8,7.0,0.0,0.4,0.0,0.0,0.0,15.0,0.0,270.0,181.457466665848,0.0,1.0,0.0,0.0,0.0
6.162000000000001,391603.56,172.8,4.5,0.0,0.4,67.5,0.0,135.0,0.0,15.0,0.0,143.647804930888,0.0,1.0,0.0,0.0,0.0
6.162000000000001,391603.56,172.8,4.5,0.0,0.4,0.0,0.0,0.0,0.0,15.0,270.0,153.11123941616,0.0,1.0,0.0,0.0,0.0
6.411600000000001,404683.89,34.56,5.0,0.0,0.4,67.5,0.0,135.0,15.0,0.0,0.0,160.786133334152,0.0,0.0,1.0,0.0,0.0
5.9124,272510.88,34.56,5.5,0.0,0.4,0.0,0.0,135.0,0.0,15.0,135.0,152.896683656488,0.0,0.0,0.0,1.0,0.0
6.232200000000001,455066.79,518.4,5.0,67.5,0.4,67.5,0.0,0.0,15.0,0.0,0.0,148.42323339472,0.0,0.0,1.0,0.0,0.0
6.3024,384763.02,345.6,4.5,0.0,0.4,0.0,0.0,0.0,0.0,15.0,270.0,159.17628357328,0.0,1.0,0.0,0.0,0.0
5.499,389595.72,172.8,5.0,0.0,0.4,67.5,0.0,135.0,15.0,0.0,0.0,157.82936346384,0.0,1.0,0.0,0.0,0.0
5.8422,388669.23,172.8,5.0,0.0,0.4,0.0,0.0,135.0,15.0,0.0,135.0,167.17991999999998,0.0,1.0,0.0,0.0,0.0
6.162000000000001,391603.56,172.8,5.0,0.0,0.4,0.0,0.0,135.0,15.0,0.0,135.0,154.575688785048,0.0,1.0,0.0,0.0,0.0
6.6534,530229.96,103.68,5.0,0.0,0.4,67.5,0.0,135.0,15.0,0.0,0.0,132.95146666584802,1.0,0.0,0.0,0.0,0.0
5.9124,272510.88,34.56,7.0,0.0,0.4,67.5,0.0,135.0,15.0,0.0,0.0,150.86798783736,0.0,0.0,0.0,1.0,0.0
6.411600000000001,404683.89,172.8,7.0,67.5,0.4,67.5,0.0,0.0,15.0,0.0,0.0,167.59743999999998,0.0,0.0,1.0,0.0,0.0
5.545800000000001,524743.11,345.6,6.0,0.0,0.4,0.0,0.0,0.0,15.0,0.0,270.0,150.3072,1.0,0.0,0.0,0.0,0.0
6.6534,530229.96,172.8,7.0,0.0,0.4,0.0,0.0,135.0,15.0,0.0,135.0,133.36079999999998,1.0,0.0,0.0,0.0,0.0
5.772,421360.71,34.56,5.0,0.0,0.0,0.0,0.4,0.0,15.0,0.0,270.0,154.31047999999998,0.0,0.0,0.0,1.0,0.0
